State,fips,ratePer100k
"Bolivar County, Mississippi(6)",28011,523.6
"Harmon County, Oklahoma(6)",40057,523.6
"Whitley County, Kentucky(7)",21235,523.5
"Monmouth County, New Jersey(7)",34025,523.2
"Herkimer County, New York(7)",36043,523.2
"Gallatin County, Kentucky(7)",21077,523.1
"Gloucester County, Virginia(6)",51073,523
"Northampton County, Pennsylvania(6)",42095,523
"Lincoln County, West Virginia(6)",54043,523
"Marion County, Mississippi(6)",28091,522.9
"Dickey County, North Dakota(6)",38021,522.7
"Williamson County, Illinois(6)",17199,522.7
"Spencer County, Kentucky(7)",21215,522.6
"Tift County, Georgia(7)",13277,522.6
"Flathead County, Montana(6)",30029,522.5
"Hancock County, Tennessee(6)",47067,522.5
"McDuffie County, Georgia(7)",13189,522.5
"Carlisle County, Kentucky(7)",21039,522.4
"Jones County, South Dakota(6)",46075,522.3
"St. Francois County, Missouri(6)",29187,522
"Jefferson County, Illinois(6)",17081,521.8
"Rensselaer County, New York(7)",36083,521.6
"Breckinridge County, Kentucky(7)",21027,521.4
"Pike County, Illinois(6)",17149,521.4
"Staunton City, Virginia(6)",51790,521.4
"Ocean County, New Jersey(7)",34029,521.2
"Citrus County, Florida(6)",12017,521.1
"Chambers County, Alabama(6)",1017,521.1
"Franklin County, Iowa(7)",19069,520.9
"Montgomery County, Missouri(6)",29139,520.7
"McCreary County, Kentucky(7)",21147,520.4
"Bradley County, Arkansas(6)",5011,520.4
"Ringgold County, Iowa(7)",19159,520.1
"Kiowa County, Oklahoma(6)",40075,520.1
"Rockingham County, North Carolina(6)",37157,519.9
"Sanborn County, South Dakota(6)",46111,519.7
"Grant County, Arkansas(6)",5053,519.6
"Jackson County, Georgia(7)",13157,519.5
"Harrison County, Kentucky(7)",21097,519.3
"Metcalfe County, Kentucky(7)",21169,519
"Washington County, Nebraska(6)",31177,519
"Barrow County, Georgia(7)",13013,518.8
"Albany County, New York(7)",36001,518.7
"Kent County, Delaware(6)",10001,518.3
"Newton County, Georgia(7)",13217,518.3
"Macoupin County, Illinois(6)",17117,518.2
"Van Buren County, Iowa(7)",19177,518
"Iron County, Missouri(6)",29093,517.8
"Madison County, Georgia(7)",13195,517.7
"Greene County, New York(7)",36039,517.5
"Onondaga County, New York(7)",36067,517.3
"McPherson County, South Dakota(6)",46089,517.3
"Livingston County, Illinois(6)",17105,517
"Bourbon County, Kentucky(7)",21017,517
"Fallon County, Montana(6)",30025,516.9
"Rowan County, Kentucky(7)",21205,516.3
"Shelby County, Kentucky(7)",21211,516.2
"Stillwater County, Montana(6)",30095,516.1
"King William County, Virginia(6)",51101,516.1
"Cortland County, New York(7)",36023,516
"Knox County, Indiana(6)",18083,516
"Starke County, Indiana(6)",18149,515.8
"St. Martin Parish, Louisiana(7)",22099,515.8
"Van Buren County, Arkansas(6)",5141,515.8
"Haywood County, North Carolina(6)",37087,515.7
"Chenango County, New York(7)",36017,515.4
"Turner County, South Dakota(6)",46125,515.3
"Dearborn County, Indiana(6)",18029,515.2
"Grand Isle County, Vermont(6)",50013,515.2
"Leslie County, Kentucky(7)",21131,515.1
"Pleasants County, West Virginia(6)",54073,515
"Adams County, Ohio(6)",39001,514.9
"Mills County, Iowa(7)",19129,514.9
"St. James Parish, Louisiana(7)",22093,514.8
"Tama County, Iowa(7)",19171,514.7
"Edmonson County, Kentucky(7)",21061,514.6
"Ashley County, Arkansas(6)",5003,514.6
"Allegany County, New York(7)",36003,514.6
"Crittenden County, Kentucky(7)",21055,514.6
"Jackson County, Ohio(6)",39079,514.6
"Nelson County, Virginia(6)",51125,514.5
"Meigs County, Tennessee(6)",47121,514.5
"Prince Edward County, Virginia(6)",51147,514.4
"Butler County, Iowa(7)",19023,514.2
"Marion County, Florida(6)",12083,514
"Todd County, Kentucky(7)",21219,513.8
"Scott County, Indiana(6)",18143,513.8
"Union County, Kentucky(7)",21225,513.7
"Sunflower County, Mississippi(6)",28133,513.4
"St. Mary Parish, Louisiana(7)",22101,513.2
"Walker County, Alabama(6)",1127,513.1
"Franklin County, Kentucky(7)",21073,513.1
"Randolph County, North Carolina(6)",37151,513
"Lampasas County, Texas(6)",48281,512.9
"Crawford County, Missouri(6)",29055,512.9
"Harford County, Maryland(6)",24025,512.8
"Heard County, Georgia(7)",13149,512.6
"Dallas County, Arkansas(6)",5039,512.6
"Calhoun County, Iowa(7)",19025,512.6
"Crenshaw County, Alabama(6)",1041,512.5
"New Kent County, Virginia(6)",51127,512.4
"East Feliciana Parish, Louisiana(7)",22037,512.2
"Elk County, Pennsylvania(6)",42047,512.2
"Cumberland County, New Jersey(7)",34011,512
"Seneca County, New York(7)",36099,512
"Rhea County, Tennessee(6)",47143,511.7
"Magoffin County, Kentucky(7)",21153,511.7
"Wilcox County, Alabama(6)",1131,511.7
"Dukes County, Massachusetts(7)",25007,511.6
"Union County, South Carolina(6)",45087,511.6
"Mercer County, Illinois(6)",17131,511.6
"Washington County, Ohio(6)",39167,511.4
"Price County, Wisconsin(6)",55099,511.4
"Grenada County, Mississippi(6)",28043,511.4
"Jefferson County, Arkansas(6)",5069,511.3
"Columbia County, Pennsylvania(6)",42037,511.3
"Allegany County, Maryland(6)",24001,511.2
"Monroe County, Georgia(7)",13207,511.2
"White County, Tennessee(6)",47185,511.1
"Campbell County, Kentucky(7)",21037,511
"Crawford County, Georgia(7)",13079,510.8
"Randolph County, Arkansas(6)",5121,510.7
"Vernon Parish, Louisiana(7)",22115,510.7
"Polk County, Georgia(7)",13233,510.7
"Lake County, Florida(6)",12069,510.6
"Ohio County, Kentucky(7)",21183,510.5
"Muscatine County, Iowa(7)",19139,510.3
"Sussex County, New Jersey(7)",34037,510.3
"Boyle County, Kentucky(7)",21021,510.2
"Adams County, Iowa(7)",19003,510.2
"Charles Mix County, South Dakota(6)",46023,510.2
"Owen County, Kentucky(7)",21187,510.2
"Dickson County, Tennessee(6)",47043,510.2
"Schuyler County, New York(7)",36097,510.1
"Cumberland County, Kentucky(7)",21057,510.1
"Yellowstone County, Montana(6)",30111,510
"Overton County, Tennessee(6)",47133,509.9
"Lehigh County, Pennsylvania(6)",42077,509.9
"Cimarron County, Oklahoma(6)",40025,509.9
"Nassau County, New York(7)",36059,509.9
"Grant County, Indiana(6)",18053,509.9
"Garfield County, Nebraska(6)",31071,509.8
"Racine County, Wisconsin(6)",55101,509.8
"Putnam County, New York(7)",36079,509.7
"Marshall County, Tennessee(6)",47117,509.4
"Lonoke County, Arkansas(6)",5085,509.4
"Terrebonne Parish, Louisiana(7)",22109,509.3
"Spalding County, Georgia(7)",13255,509.3
"Osceola County, Michigan(6)",26133,509.2
"Jessamine County, Kentucky(7)",21113,509.2
"Essex County, Virginia(6)",51057,509.1
"Surry County, North Carolina(6)",37171,509
"Tunica County, Mississippi(6)",28143,509
"Genesee County, New York(7)",36037,508.9
"Piatt County, Illinois(6)",17147,508.9
"Goochland County, Virginia(6)",51075,508.8
"Piscataquis County, Maine(6)",23021,508.8
"Brunswick County, Virginia(6)",51025,508.8
"Clay County, Florida(6)",12019,508.7
"Luzerne County, Pennsylvania(6)",42079,508.7
"Marshall County, Kentucky(7)",21157,508.7
"Saline County, Nebraska(6)",31151,508.6
"Washington County, Maine(6)",23029,508.6
"Penobscot County, Maine(6)",23019,508.6
"Fountain County, Indiana(6)",18045,508.5
"Clinton County, New York(7)",36019,508.4
"Monroe County, Mississippi(6)",28095,508.4
"Cherokee County, Georgia(7)",13057,508.4
"Washington County, Pennsylvania(6)",42125,508.3
"Wilkinson County, Mississippi(6)",28157,508.1
"Mason County, Kentucky(7)",21161,507.9
"Covington City, Virginia(6)",51580,507.8
"Jefferson County, Montana(6)",30043,507.8
"Dallas County, Alabama(6)",1047,507.7
"Fredericksburg City, Virginia(6)",51630,507.6
"Montgomery County, New York(7)",36057,507.5
"Meade County, Kentucky(7)",21163,507.5
"Putnam County, Indiana(6)",18133,507.5
"Cattaraugus County, New York(7)",36009,507.4
"Floyd County, Iowa(7)",19067,507.4
"Muskingum County, Ohio(6)",39119,507.3
"Woodford County, Kentucky(7)",21239,507.2
"Haralson County, Georgia(7)",13143,507.2
"Warren County, Georgia(7)",13301,507.1
"Union County, South Dakota(6)",46127,507.1
"Kalkaska County, Michigan(6)",26079,507
"Arkansas County, Arkansas(6)",5001,507
"Campbell County, Tennessee(6)",47013,506.9
"Webster Parish, Louisiana(7)",22119,506.7
"Clinton County, Missouri(6)",29049,506.6
"La Salle County, Illinois(6)",17099,506.6
"Adair County, Kentucky(7)",21001,506.6
"Kent County, Rhode Island(6)",44003,506.5
"Warren County, New Jersey(7)",34041,506.4
"Livingston County, Kentucky(7)",21139,506.3
"Potter County, South Dakota(6)",46107,506.3
"Garvin County, Oklahoma(6)",40049,506.2
"Wapello County, Iowa(7)",19179,506.2
"Delaware County, Pennsylvania(6)",42045,506
"White County, Arkansas(6)",5145,505.9
"Pasco County, Florida(6)",12101,505.8
"Delaware County, Iowa(7)",19055,505.7
"Alexander County, Illinois(6)",17003,505.6
"Bay County, Florida(6)",12005,505.5
"Kendall County, Illinois(6)",17093,505.5
"Madison County, Kentucky(7)",21151,505.4
"Shasta County, California(7)",6089,505.3
"Leflore County, Mississippi(6)",28083,505.3
"Schuyler County, Illinois(6)",17169,505.1
"Yazoo County, Mississippi(6)",28163,505.1
"Beaver County, Utah(7)",49001,505
"Garden County, Nebraska(6)",31069,505
"Forest County, Wisconsin(6)",55041,505
"Hardin County, Ohio(6)",39065,504.8
"Vermilion County, Illinois(6)",17183,504.7
"Schuylkill County, Pennsylvania(6)",42107,504.7
"Monroe County, New York(7)",36055,504.7
"Gilmer County, West Virginia(6)",54021,504.6
"Chester County, South Carolina(6)",45023,504.5
"Levy County, Florida(6)",12075,504.5
"Fulton County, Kentucky(7)",21075,504.5
"Ontario County, New York(7)",36069,504.4
"Starr County, Texas(6)",48427,504.3
"Blackford County, Indiana(6)",18009,504.1
"Kenton County, Kentucky(7)",21117,504
"Gilmer County, Georgia(7)",13123,504
"Fayette County, West Virginia(6)",54019,503.9
"Granville County, North Carolina(6)",37077,503.9
"Cleveland County, North Carolina(6)",37045,503.9
"Mercer County, New Jersey(7)",34021,503.9
"Oneida County, New York(7)",36065,503.8
"Saline County, Illinois(6)",17165,503.8
"Forrest County, Mississippi(6)",28035,503.8
"Custer County, Montana(6)",30017,503.8
"Grays Harbor County, Washington(7)",53027,503.7
"Kankakee County, Illinois(6)",17091,503.7
"DeKalb County, Illinois(6)",17037,503.5
