State,fips,ratePer100k
"Petersburg City, Virginia(6)",51730,91.1
"Guernsey County, Ohio(6)",39059,90.9
"Magoffin County, Kentucky(7)",21153,90.9
"Clark County, Arkansas(6)",5019,90.9
"Pike County, Arkansas(6)",5109,90.9
"Morgan County, Kentucky(7)",21175,90.9
"Trimble County, Kentucky(7)",21223,90.8
"Catahoula Parish, Louisiana(7)",22025,90.8
"Putnam County, Florida(6)",12107,90.8
"Morrow County, Ohio(6)",39117,90.8
"Van Buren County, Arkansas(6)",5141,90.8
"Boyd County, Kentucky(7)",21019,90.7
"Shelby County, Indiana(6)",18145,90.7
"Schuyler County, Illinois(6)",17169,90.6
"Nevada County, Arkansas(6)",5099,90.6
"Claiborne County, Mississippi(6)",28021,90.6
"Ray County, Missouri(6)",29177,90.5
"Johnson County, Arkansas(6)",5071,90.5
"Wayne County, West Virginia(6)",54099,90.5
"Ross County, Ohio(6)",39141,90.4
"Madison County, Kentucky(7)",21151,90.4
"Perry County, Ohio(6)",39127,90.2
"Cass County, Illinois(6)",17017,90.2
"Dickson County, Tennessee(6)",47043,90.1
"Washington County, Indiana(6)",18175,90.1
"Rowan County, Kentucky(7)",21205,90.1
"Trinity County, Texas(6)",48455,90
"Columbia County, Florida(6)",12023,90
"Fredericksburg City, Virginia(6)",51630,89.9
"Campbell County, Kentucky(7)",21037,89.8
"Lee County, Mississippi(6)",28081,89.8
"Marion County, Arkansas(6)",5089,89.6
"Montgomery County, Illinois(6)",17135,89.5
"Williamson County, Illinois(6)",17199,89.5
"Hughes County, Oklahoma(6)",40063,89.5
"Clay County, Indiana(6)",18021,89.5
"White County, Tennessee(6)",47185,89.5
"Union County, Mississippi(6)",28145,89.4
"Sullivan County, Indiana(6)",18153,89.3
"Mason County, Kentucky(7)",21161,89.2
"Union County, Kentucky(7)",21225,89.2
"Blackford County, Indiana(6)",18009,89.2
"Garrard County, Kentucky(7)",21079,89.2
"Scott County, Missouri(6)",29201,89.2
"Levy County, Florida(6)",12075,89.2
"Ballard County, Kentucky(7)",21007,89.2
"Covington City, Virginia(6)",51580,89.2
"Lawrence County, Tennessee(6)",47099,89.1
"Emanuel County, Georgia(7)",13107,89
"Colquitt County, Georgia(7)",13071,89
"Pierce County, Georgia(7)",13229,88.9
"Murray County, Georgia(7)",13213,88.9
"Washington County, Maine(6)",23029,88.8
"Dixie County, Florida(6)",12029,88.7
